 CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PANAL,PES,RSP,FXM,C_PRI_PRD,C_PVEM_PT_MORENA_PANAL,C_PVEM_PT_MORENA,C_PVEM_PT_PANAL,C_PVEM_MORENA_PANAL,C_PT_MORENA_PANAL,C_PVEM_PT,C_PVEM_MORENA,C_PVEM_PANAL,C_PT_MORENA,C_PT_PANAL,C_MORENA_PANAL,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
190029C0100,190029C01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,29,1,C,0,2,2,,,,,54,99,2,4,4,113,23,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,,313,739,12, Por MAC,1,I,,,9/6/2021 12:24,,,,-
190029C0200,190029C02002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,29,2,C,0,2,2,,,,,40,107,1,3,5,90,21,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,282,739,12, Por MAC,1,I,,,9/6/2021 12:25,,,,-
190030B0100,190030B01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,30,1,B,0,1,2,,,,,48,103,0,5,6,54,22,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,249,605,12, Por MAC,1,I,,,9/6/2021 12:26,,,,-
190030C0100,190030C01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,30,1,C,0,1,2,0,,,,37,90,0,3,4,93,10,3,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,10,,255,605,12, Por Recuento,1,I,,,12/6/2021 14:38,,,,-
190030C0200,190030C02002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,30,2,C,0,1,2,,,,,41,99,1,3,3,77,20,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,,256,604,12, Por MAC,1,I,,,9/6/2021 12:29,,,,-
190031B0100,190031B01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,31,1,B,0,2,2,,,,,80,108,0,7,0,83,21,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,6,,312,692,12, Por MAC,1,I,,,9/6/2021 12:32,,,,-
190032B0100,190032B01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,32,1,B,0,2,2,,,,,42,72,3,2,3,64,13,6,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,213,514,12, Por MAC,1,I,,,9/6/2021 12:33,,,,-
190032C0100,190032C01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,32,1,C,0,2,2,,,,,37,77,1,0,5,57,10,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,195,513,12, Por MAC,1,I,,,9/6/2021 12:34,,,,-
190032C0200,190032C02002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,32,2,C,0,2,2,,,,,29,57,1,1,1,61,13,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,173,513,12, Por MAC,1,I,,,9/6/2021 12:38,,,,-
190033B0100,190033B01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,33,1,B,0,2,2,,,,,46,98,0,2,7,68,23,2,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,255,630,12, Por MAC,1,I,,,9/6/2021 12:39,,,,-
